bed,bath,car,landSizeM2,floorSizeM2,yearBuilt,saleYearMonth,suburb_price_median_current,count,std,suburb_price_median_3m,suburb_price_median_6m,suburb_price_median_12m,suburb_txn_count_3m,suburb_txn_count_6m,suburb_txn_count_12m,suburb_volatility_3m,suburb_volatility_6m,suburb_volatility_12m,suburb_delta_3m,suburb_delta_12m,rel_price_vs_suburb_median,propertyType,saleType,agency,landUse,developmentZone,ownerType,agencyBrand,propertyAgeBand,salePrice
3.0,1.0,2.0,619.0,102.0,1970.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.022408963585434,UNIT,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,Rented,Jellis Craig,21+,1095000.0
3.0,1.0,2.0,833.0,130.0,1960.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.4145658263305323,HOUSE,Pending Settlement Advice,Unknown,Unknown,NRZ3,Owner Occupied,Other,21+,1515000.0
2.0,1.0,2.0,217.0,106.0,1980.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,0.7516339869281046,HOUSE,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ3,Owner Occupied,Ray White,21+,805000.0
4.0,3.0,2.0,470.0,181.0,1960.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.6125116713352008,HOUSE,Pending Settlement Advice,Barry Plant Blackburn,Detached Dwelling,NRZ4,Rented,Barry Plant,21+,1727000.0
3.0,2.0,2.0,286.0,142.0,2010.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.017740429505135,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),NRZ4,Owner Occupied,Other,6–20,1090000.0
3.0,2.0,1.0,3197.0,78.0,2017.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,0.4855275443510737,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),RGZ1,Owner Occupied,Ray White,6–20,520000.0
2.0,1.0,1.0,94.0,94.0,2014.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,0.4528478057889822,UNIT,Pending Settlement Advice,Other,Strata Unit or Flat  (Unspecified),C1Z,Owner Occupied,Other,6–20,485000.0
3.0,2.0,1.0,416.0,254.0,1970.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.1587301587301588,HOUSE,Pending Settlement Advice,Other,Detached Dwelling,NRZ3,Owner Occupied,Ray White,21+,1241000.0
3.0,2.0,2.0,285.0,144.0,1980.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.031746031746032,UNIT,Pending Settlement Advice,Other,Townhouse,NRZ3,Owner Occupied,Noel Jones,21+,1105000.0
4.0,2.0,2.0,646.0,123.0,1955.0,202508,1071000.0,26,391332.7725173984,881500.0,947375.0,896500.0,86.0,170.0,427.0,386635.2923564976,437791.164060012,526402.1923617971,0.0448780487804878,0.2526315789473683,1.680672268907563,HOUSE,Pending Settlement Advice,Other,Detached Dwelling (existing),NRZ3,Rented,Jellis Craig,21+,1800000.0
